"","close","adjOpen","adjClose","avg_price7","change"
"595",154.48,148.1943042,148.6465562,147.581221028571,"Decrease"
"596",153.48,147.8286537,147.684318,147.983986442857,"Increase"
"597",155.39,148.3578847,149.5221929,148.293277285714,"Decrease"
"598",155.3,149.1180529,149.4355915,148.440362271429,"Decrease"
"599",155.84,149.926333,149.9552001,148.792266528571,"Decrease"
"600",155.9,150.1620813,150.0129344,149.036949957143,"Decrease"
"601",156.55,150.0802911,150.6383892,149.413597471429,"Decrease"
"602",156,150.4459416,150.1091582,149.622540614286,"Decrease"
"603",156.99,150.8115921,151.061774,150.105034328571,"Decrease"
"604",159.88,151.9374108,153.8426424,150.7222414,"Decrease"
"605",160.47,153.7464186,154.4103629,151.432923028571,"Decrease"
"606",159.76,154.362251,153.7271738,151.971776414286,"Decrease"
"607",155.98,150.8308369,150.0899135,151.982773428571,"Increase"
"608",156.25,150.6961235,150.3497178,151.941534657143,"Increase"
"609",156.17,150.9655502,150.2727387,151.9649033,"Increase"
"610",157.1,150.3882073,151.1676202,151.980024185714,"Increase"
"611",156.41,150.984795,150.5036759,151.503028971429,"Increase"
"612",157.41,151.2927112,151.4659141,151.082393428571,"Decrease"
"613",163.05,153.2749219,156.8929375,151.534645385714,"Decrease"
"614",166.72,157.7012176,160.4243517,153.0109937,"Decrease"
"615",169.04,161.5597927,162.6567443,154.769140342857,"Decrease"
"616",166.89,163.455402,160.5879322,156.242739414286,"Decrease"
"617",168.11,161.3096108,161.7618627,157.756202628571,"Decrease"
"618",172.5,167.4294457,165.9860884,159.967975842857,"Decrease"
"619",174.25,165.8561863,167.6700053,162.282846014286,"Decrease"
"620",174.81,167.3428443,168.2088586,163.899406171429,"Decrease"
"621",176.24,168.0645229,169.5848593,165.208050114286,"Decrease"
"622",175.88,168.4975301,169.2384535,166.148294285714,"Decrease"
"623",174.67,169.1052672,168.6803554,167.304354742857,"Decrease"
"624",173.97,167.5504761,168.0043592,168.196139957143,"Increase"
"625",171.34,167.10625,165.4645451,168.121633771429,"Increase"
"626",169.08,164.141524,163.2820432,167.494782042857,"Increase"
"627",171.1,165.3100317,165.232775,167.069627242857,"Increase"
"628",170.15,165.1748324,164.3153516,166.316840428571,"Increase"
"629",169.98,164.4505508,164.1511811,165.590087228571,"Increase"
"630",173.14,164.9237481,167.2028209,165.379010871429,"Decrease"
"631",174.96,167.4152768,168.9604109,165.515589685714,"Decrease"
"632",174.97,169.0956101,168.970068,166.016378671429,"Decrease"
"633",174.09,169.0473247,168.1202443,166.707550257143,"Decrease"
"634",173.07,168.3230431,167.1352213,166.9793283,"Decrease"
"635",169.48,166.7103094,163.6683267,166.886896171429,"Increase"
"636",171.85,164.5857501,165.9570566,167.144878385714,"Increase"
"637",171.05,164.1222098,165.1844895,166.856545328571,"Increase"
"638",169.8,166.5654531,163.9773535,166.144679985714,"Increase"
"639",169.64,163.262729,163.8228401,165.409361714286,"Increase"
"640",169.01,161.7562233,163.2144436,164.708533042857,"Increase"
"641",169.32,163.2337578,163.5138133,164.191189042857,"Increase"
"642",169.37,164.6436926,163.5620987,164.176013614286,"Increase"
"643",172.67,163.3979282,166.7489378,164.2891395,"Decrease"
"644",171.7,166.2467692,165.8122002,164.378812457143,"Decrease"
"645",172.27,166.5847673,166.3626543,164.719569714286,"Decrease"
"646",172.22,166.4881964,166.3143688,165.075502385714,"Decrease"
"647",173.97,167.6760182,168.0043592,165.759776042857,"Decrease"
"648",176.42,168.8831542,170.3703458,166.739280685714,"Decrease"
"649",174.54,169.0280105,168.5548132,167.452525614286,"Decrease"
"650",174.35,168.8734971,168.3713285,167.684295714286,"Decrease"
"651",175.01,168.197501,169.0086964,168.140938028571,"Decrease"
"652",175.01,168.6900124,169.0086964,168.518944042857,"Decrease"
"653",170.57,164.9430623,164.7209493,168.291312685714,"Increase"
"654",170.6,164.2670662,164.7499206,167.826392885714,"Increase"
"655",171.08,165.1362041,165.2134608,167.089695028571,"Increase"
"656",169.23,164.6726639,163.4268995,166.357135928571,"Increase"
"657",172.26,164.3250087,166.3529972,166.068802885714,"Decrease"
"658",172.23,166.6137385,166.3240259,165.685278528571,"Decrease"
"659",173.03,166.6233956,167.0965929,165.412120885714,"Decrease"
"660",175,167.4925335,168.9990393,166.0232766,"Decrease"
"661",174.35,168.3713285,168.3713285,166.540620585714,"Decrease"
"662",174.33,168.5644703,168.3520144,166.988985385714,"Decrease"
"663",174.29,167.2221351,168.313386,167.687054885714,"Decrease"
"664",175.28,168.6030987,169.2694377,168.103689242857,"Decrease"
"665",177.09,170.1385756,171.0173706,168.774167057143,"Decrease"
"666",176.19,171.7995948,170.1482327,169.2101156,"Decrease"
"667",179.1,170.1096044,172.9584453,169.775745028571,"Decrease"
"668",179.26,173.2191867,173.1129587,170.453120771429,"Decrease"
"669",178.46,172.485248,172.3403917,171.022888957143,"Decrease"
"670",177,171.2201695,170.9304569,171.396756228571,"Increase"
"671",177.04,171.2201695,170.9690852,171.639563014286,"Increase"
"672",174.22,171.1718841,168.2457864,171.243622414286,"Increase"
"673",171.11,168.5210134,165.242432,170.542793742857,"Increase"
"674",171.51,166.1019129,165.6287156,169.4956895,"Increase"
"675",167.96,164.3250087,162.2004493,167.936759585714,"Increase"
"676",166.97,159.8489484,161.2443976,166.351617571429,"Increase"
"677",167.43,161.1478268,161.6886237,165.031355685714,"Increase"
